Tag,Fruit_no,Full_fruit_wt,Total_n_seeds,Full__n_seeds,All_seeds__wt,Q,Date_counted,Notes
1129,1,,,,,,,
1129,2,,,,,,,
1129,3,,,,,,,
1129,4,,,,,,,
1078,4,,,,,,,
1108,1,,,,,,,
1019,1,,,,,,,
1019,2,,,,,,,
1019,3,,,,,,,
1019,4,,,,,,,
1019,5,,,,,,,
1019,6,,,,,,,
1019,7,,,,,,,
1019,8,,,,,,,
1019,9,,,,,,,
1019,10,,,,,,,
1055,1,,,,,,,
1194,1,,,,,,,
1194,2,,,,,,,
1194,3,,,,,,,
1194,4,,,,,,,
1194,5,,,,,,,
1194,6,,,,,,,
1194,7,,,,,,,
1194,8,,,,,,,
1194,9,,,,,,,
1194,10,,,,,,,
1194,11,,,,,,,
1194,12,,,,,,,
1194,13,,,,,,,
1194,14,,,,,,,
1194,15,,,,,,,
1065,1,,,,,,,
1065,2,,,,,,,
1145,1,,,,,,,
1145,2,,,,,,,
1145,3,,,,,,,
1145,4,,,,,,,
1145,5,,,,,,,
1145,6,,,,,,,
1039,1,,,,,,,
1039,2,,,,,,,
1039,3,,,,,,,
1158,1,,,,,,,
1158,2,,,,,,,
1297,1,,,,,,,
1297,2,,,,,,,
1297,3,,,,,,,
1297,4,,,,,,,
1297,5,,,,,,,
1297,6,,,,,,,
1297,7,,,,,,,
1297,8,,,,,,,
1297,9,,,,,,,
1291,1,,,,,,,
1291,2,,,,,,,
1291,3,,,,,,,
1291,4,,,,,,,
1289,1,,,,,,,
1289,2,,,,,,,
1251,1,,,,,,,
1251,2,,,,,,,
1251,3,,,,,,,
1251,4,,,,,,,
1215,1,,,,,,,
1151,1,,,,,,,
1151,2,,,,,,,
1108,2,,,,,,,
1108,3,,,,,,,
1170,1,,,,,,,
1170,2,,,,,,,
1170,3,,,,,,,
1170,4,,,,,,,
1080,1,,,,,,,
1186,1,,,,,,,
1186,2,,,,,,,
1160,1,,,,,,,
1269,1,,,,,,,
1269,2,,,,,,,
1269,3,,,,,,,
1269,4,,,,,,,
1041,2,,,,,,,
1041,3,,,,,,,
1041,4,,,,,,,
1158,3,,,,,,,
1067,1,,,,,,,
1067,2,,,,,,,
1067,3,,,,,,,
1276,1,,,,,,,
1276,2,,,,,,,
1276,3,,,,,,,
1276,4,,,,,,,
1217,1,,,,,,,
1217,2,,,,,,,
1217,3,,,,,,,
1217,4,,,,,,,
1217,5,,,,,,,
1217,6,,,,,,,
1217,7,,,,,,,
1217,8,,,,,,,
1217,9,,,,,,,
1217,10,,,,,,,
1199,1,,,,,,,
1199,2,,,,,,,
1199,3,,,,,,,
1199,4,,,,,,,
1199,5,,,,,,,
1199,6,,,,,,,
1199,7,,,,,,,
1031,1,,,,,,,
1031,2,,,,,,,
1031,3,,,,,,,
1144,1,,,,,,,
1144,2,,,,,,,
1144,3,,,,,,,
1050,6,,,,,,,
1050,7,,,,,,,
1308,2,,,,,,,
1308,3,,,,,,,
1308,4,,,,,,,
1308,5,,,,,,,
1308,6,,,,,,,
1308,7,,,,,,,
1308,8,,,,,,,
1198,1,,,,,,,
1198,2,,,,,,,
1198,3,,,,,,,
1151,3,,,,,,,
1151,4,,,,,,,
1151,5,,,,,,,
1151,6,,,,,,,
1032,1,,,,,,,
1106,1,,,,,,,
1106,2,,,,,,,
1106,3,,,,,,,
1286,1,,,,,,,
1133,1,,,,,,,
1133,2,,,,,,,
1133,3,,,,,,,
1133,4,,,,,,,
1172,1,,,,,,,
1172,2,,,,,,,
1172,3,,,,,,,
1172,4,,,,,,,
1100,1,,,,,,,
1084,1,,,,,,,
1084,2,,,,,,,
1084,3,,,,,,,
1084,4,,,,,,,
1084,5,,,,,,,
1192,1,,,,,,,
1288,1,,,,,,,
1288,2,,,,,,,
1288,3,,,,,,,
1288,4,,,,,,,
1288,5,,,,,,,
1288,6,,,,,,,
1288,7,,,,,,,
1288,8,,,,,,,
1137,1,,,,,,,
1137,2,,,,,,,
1137,3,,,,,,,
1137,4,,,,,,,
1137,5,,,,,,,
1249,1,,,,,,,
1249,2,,,,,,,
1249,3,,,,,,,
1249,4,,,,,,,
1312,1,,,,,,,
1312,2,,,,,,,
1312,3,,,,,,,
1312,4,,,,,,,
1227,1,,,,,,,
1198,4,,,,,,,
1223,1,,,,,,,
1223,2,,,,,,,
1223,3,,,,,,,
1223,4,,,,,,,
1223,5,,,,,,,
1223,6,,,,,,,
1223,7,,,,,,,
1136,1,,,,,,,
1136,2,,,,,,,
1136,3,,,,,,,
1136,4,,,,,,,
1136,5,,,,,,,
1054,1,,,,,,,
1054,2,,,,,,,
1054,3,,,,,,,
1054,4,,,,,,,
1054,5,,,,,,,
1054,6,,,,,,,
1054,7,,,,,,,
1135,1,,,,,,,
1135,2,,,,,,,
1135,3,,,,,,,
1055,2,,,,,,,
1055,3,,,,,,,
1113,1,,,,,,,
1113,2,,,,,,,
1056,1,,,,,,,
1056,2,,,,,,,
1056,3,,,,,,,
1056,4,,,,,,,
1056,5,,,,,,,
1306,1,,,,,,,
1306,2,,,,,,,
1306,3,,,,,,,
1306,4,,,,,,,
1306,5,,,,,,,
1306,6,,,,,,,
1306,7,,,,,,,
1306,8,,,,,,,
1306,9,,,,,,,
1070,1,,,,,,,
1070,2,,,,,,,
1070,3,,,,,,,
1070,4,,,,,,,
1070,5,,,,,,,
1070,6,,,,,,,
1131,1,,,,,,,
1131,2,,,,,,,
1131,3,,,,,,,
1131,4,,,,,,,
1131,5,,,,,,,
1131,6,,,,,,,
1131,7,,,,,,,
1131,8,,,,,,,
1131,9,,,,,,,
1168,1,,,,,,,
1218,1,,,,,,,
1218,2,,,,,,,
1218,3,,,,,,,
1142,1,,,,,,,
1142,2,,,,,,,
1142,3,,,,,,,
1142,4,,,,,,,
1071,1,,,,,,,
1071,2,,,,,,,
1071,3,,,,,,,
1071,4,,,,,,,
1071,5,,,,,,,
1071,6,,,,,,,
1071,7,,,,,,,
1071,8,,,,,,,
1071,9,,,,,,,
1071,10,,,,,,,
1224,1,,,,,,,
1224,2,,,,,,,
1224,3,,,,,,,
1224,4,,,,,,,
1224,5,,,,,,,
1224,6,,,,,,,
1220,1,,,,,,,
1220,2,,,,,,,
1220,3,,,,,,,
1220,4,,,,,,,
1220,5,,,,,,,
1220,6,,,,,,,
1220,7,,,,,,,
1220,8,,,,,,,
1220,9,,,,,,,
1220,10,,,,,,,
1220,11,,,,,,,
1220,12,,,,,,,
1283,1,,,,,,,
1283,2,,,,,,,
1140,1,,,,,,,
1140,2,,,,,,,
1137,6,,,,,,,
1137,7,,,,,,,
1137,8,,,,,,,
1137,9,,,,,,,
1137,10,,,,,,,
1200,1,,,,,,,
1200,2,,,,,,,
1200,3,,,,,,,
1200,4,,,,,,,
1200,5,,,,,,,
1007,1,,,,,,,
1007,2,,,,,,,
1007,3,,,,,,,
1007,4,,,,,,,
1289,3,,,,,,,
1289,4,,,,,,,
1240,1,,,,,,,
1240,2,,,,,,,
1240,3,,,,,,,
1240,4,,,,,,,
1312,5,,,,,,,
1312,6,,,,,,,
1312,7,,,,,,,
1255,1,,,,,,,
1255,2,,,,,,,
1082,1,,,,,,,
1040,1,,,,,,,
1040,2,,,,,,,
1181,1,,,,,,,
1181,2,,,,,,,
1181,3,,,,,,,
1310,1,,,,,,,
